pin,slack
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_2_sqmuxa_1:B,34013
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_2_sqmuxa_1:C,35000
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_2_sqmuxa_1:D,33865
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_2_sqmuxa_1:Y,33865
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_224:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_224:IPB,
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_RNIVFBC8[4]:A,31186
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_RNIVFBC8[4]:B,31183
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_RNIVFBC8[4]:C,29015
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_RNIVFBC8[4]:D,28949
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_RNIVFBC8[4]:Y,28949
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COO0I[0]:ALn,36765
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COO0I[0]:CLK,37405
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COO0I[0]:D,37433
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2COO0I[0]:Q,37405
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_RNIDK6E[1]:A,31295
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_RNIDK6E[1]:B,31168
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_RNIDK6E[1]:C,31042
TEMP_sb_0/COREI2C_0_0/CI2CIlI[0].ui2c/CI2ClO0I_RNIDK6E[1]:Y,31042
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_281:IPA,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_281:IPB,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:CAN_RXBUS_F2H_SCP,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:CAN_TXBUS_F2H_SCP,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:CAN_TX_EBL_F2H_SCP,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:CLK_BASE,27260
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:CLK_MDDR_APB,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:COLF,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:CONFIG_PRESET_N,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:CRSF,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2HCALIB,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[0],8010
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[10],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[11],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[12],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[13],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[14],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[15],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[1],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[2],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[3],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[4],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[5],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[6],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[7],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[8],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2H_INTERRUPT[9],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2_DMAREADY[0],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:F2_DMAREADY[1],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_AVALID,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_HOSTDISCON,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_IDDIG,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_LINESTATE[0],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_LINESTATE[1],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_M3_RESET_N,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_PLL_LOCK,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_RXACTIVE,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_RXERROR,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_RXVALID,
