pin,slack
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_7_enl[3]:A,17282
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_7_enl[3]:B,14004
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_7_enl[3]:C,11839
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_7_enl[3]:D,11725
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_7_enl[3]:Y,11725
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[3]_CC_0:CC[11],
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[3]_CC_0:CO,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[3]_CC_0:P[11],
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PRDATA_3_1_0_wmux[3]_CC_0:UB[11],
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2[1]:ALn,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2[1]:CLK,15077
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2[1]:D,14187
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2[1]:Q,15077
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/serdat[0]:ALn,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/serdat[0]:CLK,9854
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/serdat[0]:D,9759
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/serdat[0]:EN,9863
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/serdat[0]:Q,9854
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_59:IPB,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_cnst_i[4]:A,15174
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_cnst_i[4]:B,11491
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_cnst_i[4]:C,16275
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_cnst_i[4]:D,14915
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_cnst_i[4]:Y,11491
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod_comb_proc.fsmmod_nxt59:A,15345
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod_comb_proc.fsmmod_nxt59:B,15318
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmmod_comb_proc.fsmmod_nxt59:Y,15318
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_7_enl[0]:A,17282
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_7_enl[0]:B,14908
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_7_enl[0]:C,14004
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_7_enl[0]:D,11839
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/framesync_7_enl[0]:Y,11839
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/adrcomp_write_proc.un1_seradr0_NE_2:A,15041
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/adrcomp_write_proc.un1_seradr0_NE_2:B,14945
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/adrcomp_write_proc.un1_seradr0_NE_2:C,15125
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/adrcomp_write_proc.un1_seradr0_NE_2:D,15187
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/adrcomp_write_proc.un1_seradr0_NE_2:Y,14945
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_3_4_RNO[2]:A,14092
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_3_4_RNO[2]:B,13120
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_3_4_RNO[2]:C,13048
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_3_4_RNO[2]:D,12905
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsta_nxt_3_4_RNO[2]:Y,12905
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_148:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_148:IPB,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/m28:A,11646
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/m28:B,12854
